country,country/region,select_investors,company_link,img_src,company,valuation_currency,valuation,funding,company_cleaned
Philippines,Asia,500 Global,https://www.crunchbase.com/organization/revolution-precrafted,https://images.crunchbase.com/image/upload/t_cb-default-original/x96nqhjzfuxx5fcbljgp,Revolution Precrafted,B,1,15,REVOLUTION PRECRAFTED
Germany,Europe,Baillie Gifford,https://www.crunchbase.com/organization/sennder,https://images.crunchbase.com/image/upload/t_cb-default-original/ipuiyu5qmjjdn5i456mp,sennder,B,1,340,SENNDER
China,Asia,Taikang Insurance Group,https://www.crunchbase.com/organization/womai-net,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Womai,B,1,330,WOMAI
China,Asia,Hillhouse Investment,https://www.crunchbase.com/organization/haydon,https://images.crunchbase.com/image/upload/t_cb-default-original/nonx6sugixolbjuhdnhn,Haydon,B,1,100,HAYDON
China,Asia,Tencent,https://www.crunchbase.com/organization/haydon,https://images.crunchbase.com/image/upload/t_cb-default-original/nonx6sugixolbjuhdnhn,Haydon,B,1,100,HAYDON
China,Asia,Suning.com,https://www.crunchbase.com/organization/lamabang,https://images.crunchbase.com/image/upload/t_cb-default-original/dvej9tfyzc50bd9vs10j,Lamabang,B,1,130,LAMABANG
Canada,North America,Hyundai Motor Group,https://www.crunchbase.com/organization/tenstorrent,https://images.crunchbase.com/image/upload/t_cb-default-original/irrnihv9tf8ttiabbrhu,Tenstorrent,B,1,335,TENSTORRENT
Canada,North America,Samsung Catalyst Fund,https://www.crunchbase.com/organization/tenstorrent,https://images.crunchbase.com/image/upload/t_cb-default-original/irrnihv9tf8ttiabbrhu,Tenstorrent,B,1,335,TENSTORRENT
China,Asia,Haoteng Asia,https://www.crunchbase.com/organization/1kmxc,https://images.crunchbase.com/image/upload/t_cb-default-original/tq7plluaheqewd0bgwgf,1KMXC,B,1,86,1KMXC
United States,North America,Ribbit Capital,https://www.crunchbase.com/organization/vise-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/c2nc1wj5hdvu1i2mqfkl,Vise,B,1,128,VISE
United States,North America,Baker Hughes,https://www.crunchbase.com/organization/augury-systems,https://images.crunchbase.com/image/upload/t_cb-default-original/xsguxoxwqh8rd5tav9zv,Augury,B,1,294,AUGURY
United States,North America,Curql,https://www.crunchbase.com/organization/amount-com,https://images.crunchbase.com/image/upload/t_cb-default-original/hkqwgvoy7m7xurqq1idi,Amount,B,1,313,AMOUNT
France,Europe,Accel,https://www.crunchbase.com/organization/lydia,https://images.crunchbase.com/image/upload/t_cb-default-original/mul0pauelg40pbdhbhx9,Lydia,B,1,260,LYDIA
France,Europe,Dragoneer Investment Group,https://www.crunchbase.com/organization/lydia,https://images.crunchbase.com/image/upload/t_cb-default-original/mul0pauelg40pbdhbhx9,Lydia,B,1,260,LYDIA
China,Asia,GIC,https://www.crunchbase.com/organization/smartmi-international-limited,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",SmartMi International Limited,B,1,50,SMARTMI INTERNATIONAL LIMITED
China,Asia,Eight Roads Ventures,https://www.crunchbase.com/organization/wifi-skeleton-key,https://images.crunchbase.com/image/upload/t_cb-default-original/n44iqd9d8kaz4fydnwok,Wifi Skeleton Key,B,1,52,WIFI SKELETON KEY
Israel,Asia,K1 Investment Management,https://www.crunchbase.com/organization/pcysys,https://images.crunchbase.com/image/upload/t_cb-default-original/kbsjgvaqt4paavbotzkb,Pentera,B,1,190,PENTERA
France,Europe,Avenir,https://www.crunchbase.com/organization/meero,https://images.crunchbase.com/image/upload/t_cb-default-original/a8shzwyr6rgzpcznezrr,Meero,B,1,293,MEERO
France,Europe,Eurazeo,https://www.crunchbase.com/organization/meero,https://images.crunchbase.com/image/upload/t_cb-default-original/a8shzwyr6rgzpcznezrr,Meero,B,1,293,MEERO
China,Asia,Crescent Group (Crescent Point),https://www.crunchbase.com/organization/huashenghaoche,https://images.crunchbase.com/image/upload/t_cb-default-original/lmitpqvtbnh4s5yyas8k,Huasheng Haoche,B,1,450,HUASHENG HAOCHE
France,Europe,SoftBank,https://www.crunchbase.com/organization/lunchr,https://images.crunchbase.com/image/upload/t_cb-default-original/xe8mbebwmcwcmcbdfjnj,Swile,B,1,326,SWILE
United States,North America,Sixth Street,https://www.crunchbase.com/organization/emplifi,https://images.crunchbase.com/image/upload/t_cb-default-original/qcqc48vfc7j7ejkfpjhi,Emplifi,B,1,0,EMPLIFI
Brazil,South America,SOFTBANK Latin America Ventures,https://www.crunchbase.com/organization/cargox-com-br,https://images.crunchbase.com/image/upload/t_cb-default-original/kbqeigkkmyln7arwxgyg,CargoX,B,1,390,CARGOX
Brazil,South America,Tencent,https://www.crunchbase.com/organization/cargox-com-br,https://images.crunchbase.com/image/upload/t_cb-default-original/kbqeigkkmyln7arwxgyg,CargoX,B,1,390,CARGOX
China,Asia,D1 Capital Partners,https://www.crunchbase.com/organization/xtransfer,https://images.crunchbase.com/image/upload/t_cb-default-original/f0yijngtfng0xsnqh3gl,XTransfer,B,1,168,XTRANSFER
China,Asia,HOPU Investment Management Company,https://www.crunchbase.com/organization/lianshang-reading,https://images.crunchbase.com/image/upload/t_cb-default-original/cobktxu7dmlfjfgvy1wj,Lianshang Literature,B,1,20,LIANSHANG LITERATURE
Canada,North America,Arctos Sports Partners,https://www.crunchbase.com/organization/geocomply,https://images.crunchbase.com/image/upload/t_cb-default-original/nh6kvevbupaqb8ejwh9s,GeoComply,B,1,0,GEOCOMPLY
Canada,North America,Norwest Venture Partners,https://www.crunchbase.com/organization/geocomply,https://images.crunchbase.com/image/upload/t_cb-default-original/nh6kvevbupaqb8ejwh9s,GeoComply,B,1,0,GEOCOMPLY
United States,North America,Bain Capital,https://www.crunchbase.com/organization/carson-groupp,https://images.crunchbase.com/image/upload/t_cb-default-original/ewhdqixrxbn0um8jwpso,Carson Group,B,1,0,CARSON GROUP
United States,North America,Advent International,https://www.crunchbase.com/organization/iodine-software,https://images.crunchbase.com/image/upload/t_cb-default-original/oafgdrph3wtbawynmkmo,Iodine Software,B,1,0,IODINE SOFTWARE
United States,North America,65 Equity Partners,https://www.crunchbase.com/organization/kendra-scott-design,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kendra Scott Design,B,1,0,KENDRA SCOTT DESIGN
Vietnam,Asia,CyberAgent Capital,https://www.crunchbase.com/organization/vng,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",VNG,B,1,500,VNG
